articulo; palabra  ; silaba_tonica; campo_semantico        ; color_campo; color_fondo; ejemplo                             ; gramapop                                                ; combo1_estructura; combo1_ejemplo                   ; combo2_estructura                                         ; combo2_ejemplo                      ; combo3_estructura                                         ; combo3_ejemplo                ; EN          ; FR              ; PT              ; AL          ; PL         ; NL        ; GR           ; TR           ; CZ
—       ; rubio    ; RU-bio       ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; El surfista es rubio.               ; rubio | rubios | rubia | rubias                         ; ser + [adj]      ; El surfista es rubio.            ; tener + el/la/los/las + [parte] + [adj]                   ; Tiene el pelo rubio.                ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los chicos rubios.  ; BLOND       ; BLOND           ; LOIRO           ; BLOND       ; BLOND      ; BLOND     ; ΞΑΝΘΌΣ       ; SARIŞIN      ; BLOND
—       ; pelirrojo; pe-li-RRO-jo ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Ana es pelirroja.                   ; pelirrojo | pelirrojos | pelirroja | pelirrojas         ; ser + [adj]      ; Ana es pelirroja.                ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los chicos pelirrojos.    ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo una prima pelirroja.    ; RED-HAIRED  ; ROUX            ; RUIVO           ; ROTHAARIG   ; RUDOWŁOSY  ; ROODHARIG ; ΚΟΚΚΙΝΟΜΆΛΛΗΣ; KIZIL SAÇLI  ; ZRZAVÝ
—       ; canoso   ; ca-NO-so     ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Mi abuelo es canoso.                ; canoso | canosos | canosa | canosas                     ; ser + [adj]      ; Mi abuelo es canoso.             ; tener + el/la/los/las + [parte] + [adj]                   ; Tiene el pelo canoso.               ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo un tío canoso.          ; GREY-HAIRED ; AUX CHEVEUX GRIS; DE CABELO BRANCO; GRAUHAARIG  ; SIWY       ; GRIJSHARIG; ΨΑΡΟΜΆΛΛΗΣ   ; KIR SAÇLI    ; ŠEDIVÝ
—       ; castaño  ; cas-TA-ño    ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; El surfista es castaño.             ; castaño | castaños | castaña | castañas                 ; ser + [adj]      ; El surfista es castaño.          ; tener + el/la/los/las + [parte] + [adj]                   ; Tiene el pelo castaño.              ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los chicos castaños.; BROWN-HAIRED; CHÂTAIN         ; CASTANHO        ; BRAUNHAARIG ; SZATYN     ; BRUINHARIG; ΚΑΣΤΑΝΌΣ     ; KESTANE SAÇLI; HNĚDOVLASÝ
—       ; calvo    ; CAL-vo       ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Mi abuelo es calvo.                 ; calvo | calvos | calva | calvas                         ; ser + [adj]      ; Mi abuelo es calvo.              ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los actores calvos.       ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo un tío calvo.           ; BALD        ; CHAUVE          ; CARECA          ; KAHL        ; ŁYSY       ; KAAL      ; ΦΑΛΑΚΡΌΣ     ; KEL          ; PLEŠATÝ
—       ; rizado   ; ri-ZA-do     ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Ana tiene el pelo rizado.           ; rizado | rizados | rizada | rizadas                     ; ser + [adj]      ; El pelo de Ana es rizado.        ; tener + el/la/los/las + [parte] + [adj]                   ; Ana tiene el pelo rizado.           ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gusta el pelo rizado.      ; CURLY       ; BOUCLÉ          ; ENCARACOLADO    ; LOCKIG      ; KRĘCONY    ; KRULLEND  ; ΣΓΟΥΡΌΣ      ; KIVIRCIK     ; KUDRNATÝ
—       ; liso     ; LI-so        ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Andrés tiene el pelo liso.          ; liso | lisos | lisa | lisas                             ; ser + [adj]      ; El pelo de Andrés es liso.       ; tener + el/la/los/las + [parte] + [adj]                   ; Andrés tiene el pelo liso.          ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gusta el pelo liso.        ; STRAIGHT    ; LISSE           ; LISO            ; GLATT       ; PROSTY     ; STEIL     ; ΊΣΙΟΣ        ; DÜZ          ; ROVNÝ
—       ; ondulado ; on-du-LA-do  ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Ana tiene el pelo ondulado.         ; ondulado | ondulados | ondulada | onduladas             ; ser + [adj]      ; El pelo de Ana es ondulado.      ; tener + el/la/los/las + [parte] + [adj]                   ; Ana tiene el pelo ondulado.         ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gusta el pelo ondulado.    ; WAVY        ; ONDULÉ          ; ONDULADO        ; WELLIG      ; FALOWANY   ; GOLVEND   ; ΚΥΜΑΤΙΣΤΌΣ   ; DALGALI      ; VLNITÝ
—       ; largo    ; LAR-go       ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Ana tiene el pelo largo.            ; largo | largos | larga | largas                         ; ser + [adj]      ; Las piernas de Ana son largas.   ; tener + el/la/los/las + [parte] + [adj]                   ; Ana tiene el pelo largo.            ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los brazos largos.  ; LONG        ; LONG            ; LONGO           ; LANG        ; DŁUGI      ; LANG      ; ΜΑΚΡΎΣ       ; UZUN         ; DLOUHÝ
—       ; corto    ; COR-to       ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Andrés tiene el pelo corto.         ; corto | cortos | corta | cortas                         ; ser + [adj]      ; El pelo de Andrés es corto.      ; tener + el/la/los/las + [parte] + [adj]                   ; Andrés tiene el pelo corto.         ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gusta el pelo corto.       ; SHORT       ; COURT           ; CURTO           ; KURZ        ; KRÓTKI     ; KORT      ; ΚΟΝΤΌΣ       ; KISA         ; KRÁTKÝ
—       ; grande   ; GRAN-de      ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #B8C8D8    ; Andrés tiene la boca grande.        ; grande | grandes | Misma forma para masculino y femenino; ser + [adj]      ; La boca de Andrés es grande.     ; tener + el/la/los/las + [parte] + [adj]                   ; Andrés tiene la boca grande.        ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los ojos grandes.   ; BIG         ; GRAND           ; GRANDE          ; GROSS       ; DUŻY       ; GROOT     ; ΜΕΓΆΛΟΣ      ; BÜYÜK        ; VELKÝ
—       ; pequeño  ; pe-QUE-ño    ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Andrés tiene la nariz pequeña.      ; pequeño | pequeños | pequeña | pequeñas                 ; ser + [adj]      ; La nariz de Andrés es pequeña.   ; tener + el/la/los/las + [parte] + [adj]                   ; Andrés tiene la nariz pequeña.      ; tener + un/una + [persona/parentesco] + [adj]             ; Tengo un hermano pequeño.     ; SMALL       ; PETIT           ; PEQUENO         ; KLEIN       ; MAŁY       ; KLEIN     ; ΜΙΚΡΌΣ       ; KÜÇÜK        ; MALÝ
—       ; enorme   ; e-NOR-me     ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #B8C8D8    ; El monstruo tiene una cabeza enorme.; enorme | enormes | Misma forma para masculino y femenino; ser + [adj]      ; La cabeza del monstruo es enorme.; tener + el/la/los/las + [parte] + [adj]                   ; El monstruo tiene una cabeza enorme.; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los ojos enormes.   ; HUGE        ; ÉNORME          ; ENORME          ; RIESIG      ; OGROMNY    ; ENORM     ; ΤΕΡΆΣΤΙΟΣ    ; DEVASA       ; OBROVSKÝ
—       ; oscuro   ; os-CU-ro     ; CARACTERÍSTICAS FÍSICAS; #384A11    ; #C4B5D4    ; Ana tiene los ojos oscuros.         ; oscuro | oscuros | oscura | oscuras                     ; ser + [adj]      ; El pelo de Ana es oscuro.        ; tener + el/la/los/las + [parte] + [adj]                   ; Ana tiene los ojos oscuros.         ; gustar + (a alguien) + el/la/los/las + [persona/N] + [adj]; Me gustan los ojos oscuros.   ; DARK        ; FONCÉ           ; ESCURO          ; DUNKEL      ; CIEMNY     ; DONKER    ; ΣΚΟΎΡΟΣ      ; KOYU         ; TMAVÝ
